Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_venous_blood_C002CTA1bs_cytotoxic_CD56dim_natural_killer_cell_DiseaseFree	Lymphoid	NKCell	blue	'#1A237E'	0.788271
BP_bone_marrow_HPC-V151_hematopoietic_multipotent_progenitor_cell_DiseaseFree	Others	ProgenitorCell	grey	'#82FC56'	0.908601
BP_bone_marrow_G199_hematopoietic_multipotent_progenitor_cell_DiseaseFree	Others	ProgenitorCell	grey	'#82FC56'	0.905991
BP_thymus_lymphoid_tissue_NECH0001_3_CD8positive_alphabeta_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.858014
BP_thymus_lymphoid_tissue_NECH0002_1_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.893456
BP_bone_marrow_PreB2C-V152_precursor_B_cell_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.877928
BP_bone_marrow_G200_precursor_lymphocyte_of_B_lineage_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.86775
BP_thymus_lymphoid_tissue_S010S3A1_CD8positive_alphabeta_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.853212
BP_thymus_lymphoid_tissue_NECH0001_1_CD3negative_CD4positive_CD8positive_double_positive_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.851556
BP_thymus_lymphoid_tissue_NECH0001_2_CD4positive_alphabeta_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.849857
BP_thymus_lymphoid_tissue_S01G2SA1_CD3positive_CD4positive_CD8positive_double_positive_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.848897
BP_thymus_lymphoid_tissue_S010Q7A1_CD3positive_CD4positive_CD8positive_double_positive_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.847166
BP_thymus_lymphoid_tissue_S010R5A1_CD4positive_alphabeta_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.84492
BP_thymus_lymphoid_tissue_S010NDA1_CD3negative_CD4positive_CD8positive_double_positive_thymocyte_DiseaseFree	Lymphoid	ProgenitorCell	blue	'#82FC56'	0.842748
BP_venous_blood_S01GKTA1_osteoclast_DiseaseFree	Myeloid	Osteoclast	red	'#FCE017'	0.819505
BP_venous_blood_S01GMPA1_osteoclast_DiseaseFree	Myeloid	Osteoclast	red	'#FCE017'	0.791974
BP_bone_marrow_S0179DA1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.674791
BP_bone_marrow_S017E3A1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.732428
BP_bone_marrow_S01GRFA1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.647806
BP_bone_marrow_S01GSDA1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.643698
BP_bone_marrow_S01GTBA1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.72174
BP_venous_blood_S017B9A1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.792788
BP_venous_blood_S017C7A1_precursor_B_cell_AcuteLymphocyticLeukemia	Lymphoid cancer	AcuteLymphocyticLeukemia	green	'#7E2AD8'	0.78872
BP_bone_marrow_S004XMA1_myeloid_cell_AcutePromyelocyticLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.734381
BP_bone_marrow_S0050AA1_myeloid_cell_AcutePromyelocyticLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.725631
BP_bone_marrow_S005EJA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.664139
BP_bone_marrow_S005FHA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.798952
BP_bone_marrow_S008QKA1_myeloid_cell_AcutePromyelocyticLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.807986
BP_bone_marrow_S008X6A1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.75311
BP_bone_marrow_S00CXRA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.863451
